no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,data_size,lineage_classes,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,150,838,34.880527708,16.072305125,50.952832833
1,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,150,838,34.605879666999996,16.041217583000005,50.64709725
2,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,150,838,34.382154541999995,15.927285208,50.309439749999996
3,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,150,838,35.46832916700001,16.53937829199998,52.00770745899999
4,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,150,838,35.48593225000002,15.978400207999982,51.464332458
0,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,150,838,32.37433387499999,7.701671499999975,40.076005374999966
1,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,150,838,32.72002474999999,7.73041058299998,40.45043533299997
2,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,150,838,32.36686816700001,7.691741332999982,40.05860949999999
3,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,150,838,32.60199,7.71975154200004,40.32174154200004
4,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,150,838,32.66800137500002,7.705428665999989,40.373430041000006
0,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,150,838,34.44576912499997,10.182978791999972,44.62874791699994
1,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,150,838,34.799181916000066,10.158119875000011,44.95730179100008
2,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,150,838,34.99309520899999,10.139538000000016,45.132633209000005
3,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,150,838,34.87804895900001,10.263173832999996,45.14122279200001
4,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,150,838,35.07540054100002,10.073547749999989,45.14894829100001
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7,,200,942,36.769042041000006,23.976971458999998,60.746013500000004
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7,,200,942,36.560139625000005,24.114123458999998,60.674263084
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7,,200,942,36.346829375,24.136204375000005,60.483033750000004
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7,,200,942,36.68814520800001,24.16540649999996,60.85355170799997
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7,,200,942,36.517603124999994,24.15040862500001,60.668011750000005
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,200,942,33.36283637499997,10.746384500000033,44.109220875000005
